OnsetTime	OffsetTime	MidiPitch
0.822996	4.869	65
0.824002	4.869	68
1.757	4.42099	80
1.75799	3.53699	77
3.53699	5.278	77
3.53699	5.283	73
4.869	8.64198	69
4.873	8.64298	66
5.285	5.67699	72
5.28599	5.678	75
5.678	6.10499	73
5.67899	6.10798	77
6.10798	9.07998	75
6.10899	9.07998	72
8.64298	12.513	65
8.64597	12.514	68
9.08099	9.48899	73
9.08099	9.48998	70
9.49198	9.88798	75
9.49299	9.89097	72
9.89198	13.333	70
9.89497	11.866	73
10.564	12.233	77
11.866	13.336	73
12.517	16.286	63
12.518	16.29	66
12.934	13.753	72
12.937	13.753	68
13.333	15.765	70
13.336	15.765	73
13.753	16.713	72
13.753	16.714	68
